mean,std
0.8120813607734205,0.493240534733033
40642.82397277428,267938.1872672514
7.294567357115469,3.7862616724831337
12.676493654559911,6.709961118193524
12.676493654559911,6.709961118193524
3.0961299374684095,0.4890316734778377
2.8924180658300656,0.584400823057101
0.9734342351198256,0.6604375425193724
64.51416122004358,44.88604343325278
68.63398692810458,54.38273128902205
62.21786492374728,79.19973939003185
29.03921568627451,65.20510625980867
69.58605664488017,84.62518634092902
1476.0038383442266,1278.1894735180858
0.331656164745098,0.08346630319371742
38.49922105012636,30.160963768323537
107.9953629519695,114.88455002708933
53.93522258264052,57.274970103723895
76.00338420996948,79.86932489591076
107.9953629519695,114.88455002708933
53.94065718759913,57.269984261267346
398.14814814814815,656.2503648174089
38.40271519912201,30.21195920676506
135.18736383442265,175.53634520026586
3.335953972294118,0.8642637797002238
46.59206146983443,19.43637219482201
68.61259635785186,28.894202760677107
83.52906186397387,39.25937683112903
91.81729887848367,48.461829230499255
96.02871655225273,54.943587998624785
0.20235458214379085,0.03183937125682198
31.759386275374723,17.88640546294105
-3.118403240346405,2.0364105167283952
7.34640522875817,27.70926419452966
2.4467915185642704,0.49819501703461455
2.677191256287582,0.6889817722914371
2.765119450261438,1.0106622847190374
1.105119044734205,2.2078888848422036
4.875128999583878,1.6360886679811852
0.09150871469281047,0.17126209522609306
80895.71087836604,1733006.3750588733
1.8871807496732025,7.80305473195942
1.5941769518518518,7.695282007428371
0.25465829411764707,0.13036670033308526
